Tweet,Country,Topic,Sentiment,Sentiment_Expression,Sentiment_Target
تقليد الآخرين لا يعني أنّك ستحصل على ما حصلوا عليه ، ربما يعجبك رزق غيرك فتحاول أن تكون مثله والله مخبئ لك الأجمل و… https://t.co/vDXdBIUVmd,jordan,personal,positive,explicit,والله مخبئ لك الأجمل
#مقاطعه_اوبر_وكريم1 انتم تريدون و هم يريدون و الله فعال لما يريد اللجاء الى الله و قل يا رب و لن يخيب لك ضن بأمره ان شاء الله,palestine,personal,negative,explicit,لن يخيب لك ضن
"@Bimawdou3ieh تحلّوا بالمسؤولية الوطنيّة! كفّوا عن اعطائكم الغطاء و الأعذار لأي عدوان خارجي او لبثّ جوّ من الفتن داخلية عبر ضيوف ""الفتنة"" ..",syria,politics,negative,explicit,تحلّوا بالمسؤولية الوطنيّة
@yara__CR7 والله الاثنين غالين على . لانو تقريبا اول نادين حبيتهم . حتي بس روح ع سعودي جبت تي شيرت الهلال 😂😂,palestine,sports,positive,explicit,اول نادين حبيتهم 
"ولي العهد السعودي يتهم #ايران بشن ""عدوان مباشر"" ضد بلاده. https://t.co/Am5vyTJkIA. #السعودية",syria,politics,negative,explicit,يتهم #ايران بشن
@ii_kk9 امي لاأراني الله مكروها فيك ، فلتتوقف أنفاسي قبل أنفاسك ، دونك لاقيمه لي ولاحياة .... اطال الله في عمرك ..,jordan,personal,positive,explicit,أراني الله مكروها فيك
#اللبناني بس يكون عليه دعوى بالمحكمة. بقول: نحن لنا ملء الثقة بالقضاء. وبس يطلع الحكم لغير صالحه. بقول: نحن لنا ملء الثقة أن القضاء مسيس ومسيّر,lebanon,politics,negative,implicit,اللبناني
*اليابان* . _جرحت الهلال_ . بـ ﴿ نيشيمورا ﴾ . _حرمت الهلال_ من . ﴿ ادواردو ﴾,palestine,sports,negative,explicit,ت الهلال_ 
"مركز أسرى فلسطين للدراسات: تدهور خطير طرأ على صحة الأسير فادي حامد رجب صرصور ""23 عاما"" من بلدة العيزية في #القدس ال… https://t.co/juN4Lrclzu",palestine,politics,negative,explicit,صحة الأسير فادي
@ajmurgent الكلام مع امريكا و اسرائيل اما بني سعود تحت احتلالهم لا حول لهم و لا قوة بس تنفيذ اوامر,syria,politics,negative,explicit,"['بني سعود', 'الكلام مع امريكا و اسرائيل']"
@sh0uqa2 @v_i_b_2 #كاس_العالم_بيوحشنا_٢. القوة القوة لا بارك الله بضعف هذا جمهور خط النار لا تورط نفسك معهم . اتمنى ي… https://t.co/Qjuyf9vztz,palestine,sports,positive,explicit,هذا جمهور خط النار
@karamar3 @yous0f @Sl6___ @AlShahenoo هههههه تذبحني والله خفت .. ي اخي رايي ان عكايشي كويس والعام قدم مستوى لكن هالسنه الكل سيء ..,palestine,personal,negative,explicit,عكايشي كويس
سيذكرني قومي اذا جد جدهم وفي. الليلة الظلماء يفتقد البدر . والله نفتقدك يا وصفي في هذه الصروف الصعبه https://t.co/IWHzVtD4bj,jordan,personal,negative,explicit,"['والله نفتقدك يا وصفي في هذه الصروف الصعبه', 'الليلة الظلماء يفتقد البدر', 'نفتقدك يا وصفي في هذه الصروف الصعبه', 'وصفي']"
@mo6nsh_911 @ssqksa @Abo_z1 كفو والله يبارك فيك اخي #مطنش وكثر الله من امثالك وجميعنا ابناء وبنات الوطن يد وحده بخد… https://t.co/zCaOA6ZiqC,jordan,personal,positive,explicit,وجميعنا ابناء وبنات الوطن
يمكن إعتبار أن أول العواصف المنتظرة لفصل الشتاء كانت عاصفة سياسية غير مسبوقة بالشكل والمضمون لما تحمل من غموض عسى ا… https://t.co/1SsoAuIvFH,syria,politics,negative,explicit,كانت عاصفة سيا
مشروع لدعم #الخبز في مدينة #دوما بـ #الغوطة_الشرقية يقدم 5 آلاف ربطة #خبز يوميا في ظل #الحصار الذي يفرضه #الأسد ، ع… https://t.co/wHI4d9AbNa,syria,politics,positive,explicit,مشروع لدعم #الخبز
الحياة أجمل من حزن و أصدق من خيبة و أعظم من غدر و أكبر من كذبة. فقط. أنظر لها بـ القلب الذي يرى الله. و ثق به حتى إن ك… https://t.co/rqSfI55YCm,jordan,personal,positive,explicit,من خيبة
تحية إلى كل إنسان ولد و يعيش في العالم العربي و تمكن من الاحتفاظ بقدرته على التفكير المستقل والارتقاء فوق تخلف مجتمعه.. لك مني كامل الاحترام,lebanon,personal,positive,explicit,الاحتفاظ بقدرته على التفكير المستقل
- لو كان (نصف) مزيج بين الظاهرة وزيدان .. لإحتفلنا بالهدف قبل ان يستلم الكرة ، ولكن الغباء يلعب دور ! https://t.co/jrTPJJjs4h,jordan,sports,negative,explicit,مزيج بين الظاهرة وزيدان
تنبيه : حملة حضر لحسابات السناب الشات اللي تستخدم تطبيقات الطرف الثالث مثل سناب بلس ، و سناب عثمان نصيحه ابتعدو عن… https://t.co/ZMOXmY9LQ9,jordan,personal,negative,explicit,نصيحه ابتعدو
أربعينية الإمام الحسين عليه السلام ؟ مسيرة إصلاح الأمة لخدمة المبادئ الأساسية لقيم السماء في الأرض ولكل الإنسانية ؟ خطها أبا الاحرار ؟,jordan,religions,positive,explicit,ربعينية الإمام الحسين عليه السلام
الشيخ #ياسر_عودة 👏 . لما تسمع كلامه وكيف ينتقد وينور السنة والشيعة . تحس انو التنوير في طريقه لا محال في ذلك 💕,syria,religions,positive,explicit,الشيخ #ياسر_عودة
الإعلامي نديم قطيش يعلن أن شبكة الإتصالات الخاصة بالرئيس #الحريري تعرضت للخرق مرات عدة والأجهزة الأمنية قالت له إن ثمة شيئاً يحاك ضده,lebanon,politics,negative,explicit,تعرضت للخرق
السلام عليكم. تحديث جديد لنظام IOS يحمل الرقم 11.1.1 وفيه تم حل مشكلة التصحيح التلقائي وكذلك حل مشكلة يا سيري,palestine,personal,positive,explicit,تحديث جديد لنظام
كل اللي سويته اليوم اني ذاكرت موضوع واحد من مواضيع hematology وقررت اخذ بريك باقي اليوم . *ماشاءالله على قوة العين والبجاحة*,palestine,personal,negative,explicit,ماشاءالله على قوة العين والبجاحة
@GundiOmer @WahidBarzane 6- برامج واجندات لسب جميع صحابة رسول الله صل الله عليه وسلم 7- تدمير منطقة الشرق الاوسط و… https://t.co/Mey9HB1979,jordan,religions,negative,explicit,برامج واجندات
لقد مات عمر ومات صلاح بل مات #الأسلام في قلوب خوارة مريضة جبانة .. لانملك إلا دموعاً وعذراً ودعاء . رحماك ربي . https://t.co/tI91mYGxQZ,palestine,politics,negative,explicit,لقد مات عمر ومات صلاح
تقام عصر اليوم على ملعب #نادي_ضمك مباراة مهمّة جداً جداً بالنسبة للنادي وإدارتة وجمهورهـ الكريم . الفوز ولاشي غير ا… https://t.co/ougMBGzZiN,palestine,sports,positive,explicit,. الفوز ولاشي غير
لهجتها في الكلام عسوله اي نعم ما فهمت ولا كلمه بس اللهجه مثل المسلسلات الخليجيه احب اتفرج عليها بس ما افهم شيء بس ع… https://t.co/btUHXijC8p,syria,entertainment,positive,explicit,لهجتها في الكلام عسوله
حدث في مثل هذا اليوم قبل سنة. تحرير مركز ناحية #بعشيقة من ايدي ارهابي #داعش تحية للدماء الزكية التي ساهمت بتحريرها وتحرير كل شبر من #العراق,syria,politics,positive,explicit,تحرير مركز ناحية
جعجع رفض دعوة بن سلمان والعذر الأعياد على لبواب وستريد حامل اذا بدكم. سامي الجميل ما عندو شي انا جربت السجن مرة على مين يا ابن. سلمان,syria,politics,negative,explicit,جعجع رفض دعوة بن سلمان
@saudimomra مع العلم اننا في الصيف نعاني العجاج والمبطبات وفِي الشتاء نعاني الوحل والغراز والطين . مع ان المطلب يسير… https://t.co/C3kGyvxojv,jordan,politics,negative,explicit,نعاني العجاج والمبطبات
نضغط الشاشه وحروفي تحاكيك. و الكل يقرأ .. ما كتبته .. و يفهم. :. إلا انت .. قلي يا غرورك ومعميك. خلك معه .. بكره تعلم .… https://t.co/6r0k8XxCha,syria,personal,negative,explicit,
إن لله وإن إليه راجعون. اللهم أجرنا في مصيبتنا واخلفنا خيراً منه. اللهم ابدلها داراً خيرًا من دارها. واهلاً خيرًا من اهلها,jordan,personal,negative,explicit,اللهم أجرنا في مصيبتنا
#الجميل: هدف الضرائب تمويل حملة السلطة الانتخابية،لا يريدون الإصلاح ولا وقف الفساد بل يريدون تمويل الفساد من جيوب اللبنانيين #ضرايب_بالقوة,lebanon,politics,negative,explicit,لا يريدون الإصلاح
هذا منتخب الاقليات الذي يعتبر ان الموت فقط هو ما يستحقه الاكثريه كيف كنت تؤيد هذا الفريق يا سني سوري شكرا استراليا https://t.co/FFV7eW7jhM,lebanon,sports,negative,explicit,منتخب الاقليات
غادر الأماكن التي تشعر فيها أنك أثقل من الهواء وأن من فيها على وشك الإختناق بك ، غادر واترك مسافه بينكما ترتاح فيها الذكريات الجميلة *,jordan,personal,positive,explicit,أثقل من الهواء
الصحفية پولا أعلنت خبر انه تم قطع قناة المستقبل والMtv لأنهم يعرضون المقابلة مع سعد الحريري هذا تحريض على اهل الضاح… https://t.co/pl1NDD6qsw,palestine,politics,negative,explicit,ا تحريض على اهل الضاح
الرئيس القرغيزي المنتخب واثق من التسوية السريعة للمشاكل مع كازاخستان https://t.co/nLUCtgYoII. #قرغيزستان https://t.co/C42e4n2l6M,syria,politics,positive,explicit,التسوية السريعة للمشاكل
@F1__ZZ @SECULARSH كن حذر بما تسمعه عن المرأة السعودية العظيمة ، فالإشاعات ألتي تأتي بهدف التسقيط والتجريح إما من… https://t.co/Yf2tv1xxYW,syria,personal,positive,explicit,المرأة السعودية العظيمة
الذي قلبه فعلاً على البلد كان عليه عدم اقحام نفسه بحروب المنطقة وعدم رمي لبنان خلافاً لمصالح شعبه في حضن التطبيع مع… https://t.co/PDAAhT2ZZ6,syria,politics,negative,explicit,عدم اقحام نفسه بحروب المنطقة
إلى كل القوم الي بروحوا الساعة مليون ع البيت بسبب الشغل لا تناموا بكير ! لا تخلوا الدوام يقتل حياتكم اعملوا اللي بدكم ياه المهم تناموش !,jordan,personal,positive,explicit,الساعة
"جعجع في معرض حديثه: أنا وقتها كنت ""بالإعتقال"".. لا يا برو انت كنت بالحبس من ورا الجرائم لعملتها مش بالإعتقال 🙂 انت… https://t.co/xGfu2y7xyN",syria,politics,negative,explicit,الجرائم لعملتها
هدف لا نراه كل يوم . #LEITOT . @oki_q8e شوف ابن اختي شوف 🤗 https://t.co/ZmVMl4sOqA,jordan,sports,positive,explicit,"['هدف لا نراه كل يوم', 'هدف']"
ولماذا لم ينتفض ويستقيل ويمتنع عن توقيع مرسوم تعيين سفير لبنان في دمشق .كان راضياً بإقتسام ما تبقّى من خيرات الدولة مع ج. باسيل. إلى أن 🤔...,lebanon,politics,negative,explicit,توقيع مرسوم تعيين سفير لبنان
اللهم إن الطريق طويل وليس معي إلا نفسي فأرشدني بحكمتك لا بـ حكمتي ودلني على ما تشاء ان كان خيراً لي أنت صاحب الأمر… https://t.co/bRvn1GLkDW,palestine,religions,positive,explicit,فأرشدني بحكمتك
#عاجل | وسائل إعلام إسبانية: مذكرة اعتقال أوروبية بحق رئيس حكومة كتالونيا المقال و4 من مستشاريه. الأخبار العاجلة:… https://t.co/js1tAR0e7I,lebanon,politics,negative,explicit,اعتقال
مبروك اقرار الضريبة #رقم٥ رفع الرسوم على المشروبات الروحية المستوردة من ٦٠ ليرة إلى ٣٠٠ ومن ٢٠٠ إلى ١٠٠٠ ومن ٤٠٠ إلى ٢٠٠٠. #سلسلة_ضرائب,lebanon,politics,negative,explicit,مبروك اقرار الضريبة
@AzadCemkari اذا انتة مامهزوم اطلع من امام مجلس النواب الكردي في اربيل وصرح ومول ها انا من امام مجلس النواب في اربي… https://t.co/CWEh8zZFEP,syria,politics,negative,explicit,مجلس النواب الكردي في اربيل
@saadhariri الله يرحم الوالد الشيخ رفيق الحريري ساير على خطاه يوم بعد يوم عم بتثبت إنو يللي خلٌف ما مات الله يخليك… https://t.co/H3NHbEbuT2,lebanon,politics,positive,explicit,خلٌف ما مات الله يخليك
بعد غياب طال ثلاثة أو أربعة أيام وبعد الضغوطات الإعلامية ظهر الفتى المدلل اللبناني سعد الحريري مع الملك سلمان واللق… https://t.co/BGpyeh46TC,jordan,politics,negative,explicit,سعد الحريري
لا تحكم على حدا من طريقة حكيه ولا من من شو بكتب ولا من شغله .. لا تحكم عحدا اصلا خليك بحالك,jordan,personal,negative,explicit,لا تحكم على حدا
هناك شر واحد ،وهو ادعاء المعرفة . وهذا مافعله الدين . حيث اقنع الجهلاء بان خطة الكون وصيرورته محتومه وهي بيد شيء نموت ولن نراه ويدعى الرب,jordan,religions,negative,explicit,وصيرورته محت
@MBA_AlThani_ يجب تعزيز العلاقات مع قطر لأن نحن ألان في خندق واحد وعلى قطر دعم العراق أقتصادية من خلال ألاستثمارات في العراق واعلامياً ايضاً,syria,politics,positive,explicit,تعزيز العلاقات مع قطر
@barbie_aimy مريضين نفسياً و معقدين .. و انتي الأصل .. و لانك دائما توب بكل شي بحاولو الكل يقلدوكي و مستحيل يوصلولك ❤️👏🏻,lebanon,personal,positive,explicit,مريضين نفسياً و معقدين
على الصعيد الوطني : . نسبة الإناث في الفترة العمرية ما بين 15-19 اللواتي تعرضنّ للعنف الجسدي أو النفسي من قبل الزوج… https://t.co/UpJrGZuHCJ,palestine,news,negative,explicit,تعرضنّ للعنف الجسدي
نصر الله : الحريري تم استدعاؤه الى السعودية و الكل يعلم ذلك و الاستقالة كانت قرارا سعوديا مجبر عليه #السعودية #حزب_الله #لبنان #حسن_نصر_الله,jordan,politics,negative,explicit,الحريري تم استدعاؤه الى السعودية
إن قدرتنا على تحكيم أدوات البحث العلمي في مختلف التخصصات وبأي عدد يطلب من المحكمين لهو خير دليل على قوة منظومة العم… https://t.co/XH8R73qCTU,palestine,science,positive,explicit,منظومة
اللهم أدخل. 🌹🌹🌹🌹🌹أمي🌹🌹🌹🌹🌹. 💓 الفردوس الأعلى 💓. بغير حساب ولا سابق عذاب . الله آميييين يا رب. الله يرحمه ويجعل مثواه الجنة,lebanon,personal,positive,explicit,الله يرحمه ويجعل مثواه الجنة
لك منيح لي بل أصل وافق حزب الله يفوت ب حكومة فيها جماعة ١٤ آذار وما تفكرو حالكن انكن لبنان. حزب الله هوي لبنان شئتم او ابيتم #بموضوعية,syria,politics,negative,explicit,حكومة فيها جماعة ١٤
@iAbdullah_24 😂 😂 😂 😂 . والله اشي بقهر انو كل هل الانتقادات ع بنزيما وكل اشي . واخر اشي زيدان بحكي انو هو المهاجم الافضل ذ,palestine,sports,negative,explicit,والله اشي بقهر 
"خطب رسول الله ﷺ عندما جاء فقراء من مضر ، فقام وخطب بالناس فقال :""يا أيها الذين آمنوا اتقوا الله ولتنظر نفس ما قدمت لغد "" ثم حضهم على الصدقة",lebanon,religions,positive,explicit,ضر ، فقام وخط
الوطن الوحيد في العالم ماضيه احسن وارقى من حاضره هو العراق ،، مملكة العراق في اربعينيات وخمسينيات القرن الماضي كانت… https://t.co/LgGw2sDwPb,jordan,politics,negative,explicit,ماضيه احسن وارقى من حاضره
خليكم مع بعض عالحلوة والمرة، القتال الداخلي انتحار. بدنا حكمة من الجميع. ربينا وكبرنا بالحرب، يكفي عدو واحد هو الصهاينة لا اعداء غيرهم,lebanon,politics,negative,explicit,القتال الداخلي انتحار
3 جرحى في غارة لطيران العدوان السعودي الأمريكي استهدفت الطريق العام في منطقة مران بمديرية حيدان (وسائل اعلام يمنية),syria,politics,negative,explicit,غارة 
#هوا_الحرية للاسف البرنامج عم بينعرض ب وقت الي كل الأولاد الي توجهتلن الرسالة صار عندن نص ليل . بكرا مدارس @joemaaelouftv,lebanon,personal,negative,explicit,هوا_الحرية
#بدنا_نحاسب: هناك ضغوط سياسية مورست في تعيين المدعين العامين، ما السبب؟ هل لاستثمار النيابات العامة للضغط على الناس حسب ميولهم السياسية؟,lebanon,politics,negative,explicit,هناك ضغوط سياسية مورست
#الوطنية 🌴💚🌴. عندما يعشق قلبك النابض لحب وطنك. ينمو هذا الحب الخالص تعشقه روحـك . مع نظرك لرباه وتفيض علاقة قوية منك ت… https://t.co/9O3OdF76xq,palestine,personal,positive,explicit,عندما يعشق قلبك النابض
@sShahad1995 بس اذا القطاع الخاص في السعودية استعباد للبشر او استغلال ساعات الدوام .. يتحمل المخالفات الي فرضها القانون على قطاع خاص,syria,news,negative,explicit,القطاع الخاص في السعودية
مش مهم لو كانت الايام الجاية من غير تفاصيل حلوة ، مش عاوزه حاجة حلوة تحصل ، المهم ميكونش ف حاجات وحشة ، انا راضية ب… https://t.co/T4VWnBGs8z,palestine,personal,negative,implicit,تفاصيل حلو
اللهم أجعلنا مقبولين بكرمك ، مكفولين بذكرك وإحسانك ومشمولين بعفوك و مغفرتك ، و أتمم علينا عافيتك و أسعدنا برضاك يار… https://t.co/xQ4G1afwyL,palestine,religions,positive,explicit,للهم أجعلنا مقبولين بكرمك
الرئيس عباس في ذكرى رحيل أبو عمار : ماضون قدما بالمصالحة ومستمرون في تنفيذ اتفاق القاهرة وصولا لسلطة واحدة وقانون واحد وسلاح شرعي واحد,palestine,politics,positive,explicit,ومستمرون في تنفيذ اتفاق القاهرة
"""اللهم بشرني بالخير كما بشرت يعقوب بيوسف وبشرني بالفرح كما بشرت زكريا بيحيى ياحي ياقيوم أسألك بحاجة داخل قلبي وأنت أدرى بها فحققها لي يارب""",palestine,personal,positive,explicit,اللهم بشرني بالخير
يجب عليك ان تعرف انك عندما تراني سيء فانك ترى انعكاس حجم سوءك . فاني لا اصبح سيء الا مع السيء,syria,personal,negative,explicit,اصبح سيء الا مع السيء
الرئيس الفرنسي قدم للسعودية ليفك احتجاز #سعد_الحريري كونه مقرب منه لكن السعوديون مولوا مشروعه في ساحل افريقيا فنسي… https://t.co/Ixq4GZDY32,palestine,politics,negative,explicit,الرئيس الفرنسي
ولماذا لم ينتفض ويستقيل ويمتنع عن توقيع مرسوم تعيين سفير لبنان في دمشق .كان راضياً بإقتسام ما تبقّى من خيرات الدولة مع ج. باسيل. إلى أن 🤔...,lebanon,politics,negative,explicit,سفير لبنان في دمشق
@dr_naseer هذا هو نقاء الروح السلفية والوهابية والاخوانية - ان تندمج بروح من يميلون له واقواها الجنسية ليكونوا جسد واحد يغذي احدهما الآخر,jordan,politics,positive,explicit,نقاء الروح السلفية
الحمد لله... ماقصرتوا يانجوم الزعيم.. مباراة قوية اضاع فيها الزعيم فرص كثيرة وسهلة ولكنها تدل على رغبة قوية في الفوز… https://t.co/Hggj8BVjr6,palestine,sports,positive,explicit,الحمد لله.
عنا بتبقى الوحدة عم تأرغل والدخنة طالعة من دينيا اكتر من مناخيرا وبتطلع فيك وبتقلك: بقرف من السيغارة ومن ريحتا ومن شكل البنت يللي حاملتا 😐,lebanon,personal,negative,explicit,السيغارة
تدمير مدرعة نوع بي إم بي تابعة لقوى العدوان في حريب نهم (وسائل اعلام يمنية) ▪ #اليمن_صرخة_حق,lebanon,politics,positive,explicit,"['تدمير مدرعة نوع بي إم بي تابعة لقوى العدوان', 'تدمير مدرعة نوع بي إم بي تابعة لقوى العدوان في حريب نهم (وسائل اعلام يمنية) ▪ #اليمن_صرخة_حق', 'تدمير مدرعة نوع بي إم بي تابعة لقوى العدوان في حريب نهم', 'تدمير مدرعة نوع بي إم بي']"
""" مهما تعطيك الحياة، حتى إن كان مؤلماً، انهضي وكوني قوية وتصرفي وكأن كل شيء على ما يرام. . تذكري أن الجدران القوية ق… https://t.co/JES6vMZSSH",palestine,personal,positive,explicit,مهما تعطيك الحياة
"""الذاكرة هي أحياء شيءٍ قديم ، . أما التخيل فهو ابتكار شيء جديد"" . سمو الأمير الحسن بن طلال . #معرض_ألف_اختراع_واختراع… https://t.co/U91ELazz3D",jordan,personal,positive,explicit,ابتكار شيء جديد
#جنبلاط عبر تويتر: من اجل التاريخ كي لا ندخل في المجهول افضل تسوية لاستقرار لبنان هي حكومة الوحدة الوطنية الحالية ولن ازيد,syria,politics,positive,explicit,لبنان
@saadhariri لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه,jordan,politics,positive,explicit,"['عشتم وعاش لبنان وعاشت المملكه السعوديه', 'نص التغريدة: @saadhariri لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه', 'لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعودي', 'انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه', 'لك الله يحميك وينصرك وينصرنا فيك لك انتي اصه والله وطلع منك يا سعد عشتم وعاش لبنان وعاشت المملكه السعوديه']"
بنظر الآخرين ان الاستفتاء جلب الدمار ل #كوردستان ولكنهم بعيدين كل البعد عن الحقيقة التي ستبقى توجع أعداء #الكورد لا… https://t.co/VYQwmtGjTb,syria,politics,negative,explicit,الاستفتاء جلب الدمار ل #كوردستان
كُن شَاكرا مهماكانت الأَزمَاتْ واصْبِر فَالمُعجزة تحدث فِي ثَواني لاَ سَنوات ربمآ آليوم ربمآ غداً ربمآ يوم مآ فھي آن ضآقت لابُـد ٲن تفرج,syria,personal,positive,explicit,كُن شَاكرا مهماكانت الأَزمَاتْ واصْبِر
أيا عمر الفاروق هل لك عودة.. فإن جيوش الفرس تنهى وتأمر... يحاصرنا كالموت مليون كافر... ففي الشرق هولاكو وفي الغرب قيص… https://t.co/dBPbk0ruxq,syria,politics,positive,explicit,ن جيوش الفرس تنهى وتأمر..
كل الإنجازات والمشاريع المستقبلية ستعلٌق إلى حين تأليف حكومة جديدة والأهم الإنتخابات أصبحت في خطر من إجرائها مع الأسف #شو_رح_يصير,lebanon,politics,negative,explicit,الإنجازات والمشاريع المستقبلية
طبعا وأنا صغير كنت مفكر حالي بطل من أبطال ال Snowboarding (سدر بوردينغ). لحد ما إجت الحقيقه الصادمه ومع أو ثلجة فضيح… https://t.co/YPV1WaYWTE,lebanon,personal,negative,explicit,لحد ما إجت الحقيقه الصادمه
13 سنوات موت وقتل ودمار بسبب هذا الحيوان الكافر استلم حكم دولة محتلة من امريكا ودمرهه اكثر #العراق #نوري_المالكي… https://t.co/fL5Z3wKx7S,jordan,politics,negative,explicit,وقتل ودمار بسبب هذا الحيوان
ولي العهد السعودي محمد بن سلمان: تزويد إيران الميليشيات بالصواريخ عدوان عسكريّ مباشر,syria,politics,negative,explicit,تزويد إيران الميليشيات بالصواريخ
@BaselNassri اوووه بس شغل حكي 🤦🏾‍♀️هي ربنا الله مواصفات السيارة سفاح بس برضه كثير مطولة ل تنزل او يشتروها الناس بتس… https://t.co/DWhK2LeDzy,jordan,personal,negative,explicit,مواصفات السيارة سفاح بس
ترا لما أكون مش طايقة حالي وتدعس على اجري مش بالقصد وتتأسف وأحكيلك بسيطة بكون مش بسيطة وسبّيت عليك ع فكرة.,jordan,personal,negative,explicit,وأحكيلك بس
@Zeina_Karam الله يستر من القادم هل تكون استقالة سعد الحريري مقدمة لضربة اسرائيلة نهائية لحزب الله وتنظيف المجال… https://t.co/k3ZYFNbIFw,jordan,politics,negative,explicit,مقدمة لضربة اسرائيلة
🌸🌸🌸🌸🌸_. اللهم إن لم نحسن بدعائنا فأنت أعلم بحاجاتنا وإن قصرنا فسبحانك تعلم غاياتنا ولا يخفى عليك شيء من أحوالنا أجبر خواطرنا بفيض نعمك💓💞💞,lebanon,religions,positive,explicit,اللهم إن لم نحسن بدعائنا
@IRAQFA. ثالثا أنتم في كل موسم تجعلون الدوري العراقي أطول دوري في العالم وهو يتكون من 20فريق. فكيف اذا كان الدوري 30فريق. تحياتي لكم يا فاشلين,jordan,sports,negative,explicit,تحياتي لكم يا فاشلين
@ من المستحيل أن يذهب لـ غيرك شيء قد كتبه الله لك، فاطمئن لا تحسد لا تحقد، وعش بـ قلب أبيض نقي ونيه صافيه وكن مع ال… https://t.co/5Gssbb9qdN,jordan,personal,positive,explicit,عش بـ قلب أبيض
دع الفلسفة لأهلها ··. وتكلم مع الله ببساطة، وأطلب منه وألح عليه، كما يطلب الصغير المدلل من أبيه ما يريد !,jordan,personal,positive,explicit,وتكلم مع الله ببساطة،
@Rawia_1979 يبدو أنك فهمتِ خطأ ... هدف الورشة معرفة التأثير الإيجابي لدعمه وتحديد التأثير السلبي لمعالجته .. ولم يت… https://t.co/3rQRezKMmf,palestine,personal,negative,explicit,التأثير السلبي
@AlaHamdann بعمل block لما يكون الشخص مزعج بطريقة غير مبررة و إن تدخل في شؤوني خاصة ، لكن قائمة ال blocked ليسوا كُثر. الحمد لله,palestine,personal,negative,explicit,لما يكون الشخص مزعج
لو تبص ع امك وهى قاعدة سرحانة هتعرف اد ايه هى شايلة جبال من الهموم وساكته وكاتمة جواها ، يارب ابعد الهم والغم عن قلب كل ام ❤✋,jordan,personal,positive,implicit,قلب كل ام
الله يفرجها علينا مااصعب الأنتظار... ناطرين كلام السيد حسن سيد الكلام . وناطرين بالستي يمني يطير بقية الأمراء السابقين والصبي سعد ههههههههههه,jordan,politics,positive,explicit,الله يفرجها علينا مااصعب الأنتظا
إذا كان البشر يفعلون الخير فقط لأنهم يخشون من العقاب ، ويتمنون مكافأة فى المقابل ، إذا فنحن كائنات مثيرة للشفقة حقا .,syria,personal,negative,explicit,إذا كان البشر يفعلون الخير
